Table;C;R;U;D;Program
AEXRS;;R;;;ILEXPCLI50;
IERBS;;R;;;ILEXPCLI50;
ACVRO;;R;;;ILEXPCLI50;
GMSGS;;R;;;ILEXPCLI50;
REFFL;;R;;;ILEXPCLI50;
LCBNS;;R;;;ILEXPCLI50;
LCTSO;;R;;;ILEXPCLI50;
LCTPS;;R;;;ILEXPCLI50;
LPHYS;;R;;;ILEXPCLI50;
IGLDO;;R;;;ILEXPCLI50;
ITLDO;;R;;;ILEXPCLI50;
CRTRO;;R;;;ILEXPCLI50;
BDLGO;;R;;;ILEXPCLI50;
BDLTO;;R;;;ILEXPCLI50;
BISSO;;R;;;ILEXPCLI50;
BICTO;;R;;;ILEXPCLI50;
LBRAS;;R;;;ILEXPCLI50;
LCCYS;;R;;;ILEXPCLI50;
AASPS;;R;;;ILEXPCLI50;
CFACS;;R;;;ILEXPCLI50;
LPRDS;;R;;;ILEXPCLI50;
REFFL;;R;;;CLFACDOCIN;
LBRAS;;R;;;CLFACDOCIN;
LBGRS;;R;;;CLFACDOCIN;
RPSCH;;R;U;;CLFACDOCIN;
AASPS;;R;;;CLFACDOCIN;
RSTRT;C;R;U;;CLFACDOCIN;
PRNTR;;R;;;CLFACDOCIN;
RPDEF;;R;;;CLFACDOCIN;
LRCES;;R;;;CLFACDOCIN;
CFACS;;R;;;CLFACDOCIN;
LCBNS;;R;;;CLFACDOCIN;
LPHYS;;R;;;CLFACDOCIN;
PRSNL;;R;;;CLFACDOCIN;
LCCYS;;R;;;CLFACDOCIN;
REFFL;;R;;;ILWARDTEDC;
RPSCH;;R;U;;ILWARDTEDC;
AASPS;;R;;;ILWARDTEDC;
RSTRT;C;R;U;;ILWARDTEDC;
PRSNL;;R;;;ILWARDTEDC;
PRNTR;;R;;;ILWARDTEDC;
RPDEF;;R;;;ILWARDTEDC;
LPHYS;;R;;;ILWARDTEDC;
LRCES;;R;;;ILWARDTEDC;
GMSGS;;R;;;ILWARDTEDC;
LCRYS;;R;;;ILWARDTEDC;
IWARO;;R;;;ILWARDTEDC;
