Table;C;R;U;D;Program
DPTRO;;R;;;IUSWFACK;
DPTRL;;R;;;IUSWFACK;
DSTAO;C;;;;IUSWFACK;
LELCS;;R;;;IUSWFACK;
REFFL;;R;;;IUSWFACK;
AASPS;;R;;;IUSWFACK;
IRSCO;;R;U;;IUSWFACK;
IRSPO;;R;U;;IUSWFACK;
ISAVO;C;R;U;;IUSWFACK;
BDLPO;;R;U;;IUSWFACK;
ICNFO;;R;U;;IUSWFACK;
ICOPO;;R;U;;IUSWFACK;
IFCSO;;R;U;;IUSWFACK;
IFRCO;;R;U;;IUSWFACK;
IFRPO;;R;U;;IUSWFACK;
IFXPO;;R;U;;IUSWFACK;
ILDCO;;R;U;;IUSWFACK;
ILDPO;;R;U;;IUSWFACK;
IOPCO;;R;U;;IUSWFACK;
IOPPO;;R;U;;IUSWFACK;
LPRDS;;R;;;IUSWFACK;
BDLTO;;R;;;IUSWFACK;
IFXPL;C;;;;IUSWFACK;
ILDPL;C;;;;IUSWFACK;
IOPPL;C;;;;IUSWFACK;
IFRPL;C;;;;IUSWFACK;
IRSPL;C;;;;IUSWFACK;
ICOPL;C;;;;IUSWFACK;
GSWMO;C;R;;;IUSWFACK;
GPARO;;R;;;IUSWFACK;
REFFL;;R;;;GP-172-CHKPSD;
LCCYS;;R;;;GP-172-CHKPSD;
LPRDS;;R;;;GP-172-CHKPSD;
LCRYS;;R;;;GP-172-CHKPSD;
AASPS;;R;;;CP-001-PMTCHK;
LCCYS;;R;;;CP-001-PMTCHK;
ADETS;;R;;;CP-001-PMTCHK;
LBRAS;;R;;;CP-001-PMTCHK;
AIBRO;;R;;;CP-001-PMTCHK;
REFFL;;R;;;IUCLNCNF;
RPSCH;;R;U;;IUCLNCNF;
AASPS;;R;;;IUCLNCNF;
RSTRT;C;R;U;;IUCLNCNF;
PRSNL;;R;;;IUCLNCNF;
PRNTR;;R;;;IUCLNCNF;
RPDEF;;R;;;IUCLNCNF;
LPHYS;;R;;;IUCLNCNF;
LRCES;;R;;;IUCLNCNF;
GMSGS;;R;;;IUCLNCNF;
ICNFO;;R;;D;IUCLNCNF;
IPIBO;;R;;D;IUCLNCNF;
LCCYS;;R;;;IUCLNCNF;
RPSCH;C;R;U;;CLOUTDEPFA;
SECUR;;R;;;CLOUTDEPFA;
RSTRT;C;R;U;;CLOUTDEPFA;
RPDEF;;R;U;;CLOUTDEPFA;
CEXRO;;R;;;CLOUTDEPFA;
CMRGO;;R;;;CLOUTDEPFA;
AEXRS;;R;;;CLOUTDEPFA;
IERBS;;R;;;CLOUTDEPFA;
ACVRO;;R;;;CLOUTDEPFA;
REFFL;;R;;;CLOUTDEPFA;
LPRDS;;R;;;CLOUTDEPFA;
LHOLO;;R;;;CLOUTDEPFA;
PRNTR;;R;;;CLOUTDEPFA;
LCTPS;;R;;;CLOUTDEPFA;
PRSNL;;R;;;CLOUTDEPFA;
LPHYS;;R;;;CLOUTDEPFA;
LRCES;;R;;;CLOUTDEPFA;
LCCYS;;R;;;CLOUTDEPFA;
LBRAS;;R;;;CLOUTDEPFA;
LBGRS;;R;;;CLOUTDEPFA;
CRISO;;R;;;CLOUTDEPFA;
AASPS;;R;;;CLOUTDEPFA;
RPSCH;;R;U;;BUDLYCLU;
AASPS;;R;;;BUDLYCLU;
RSTRT;C;R;U;;BUDLYCLU;
PRSNL;;R;;;BUDLYCLU;
PRNTR;;R;;;BUDLYCLU;
RPDEF;;R;;;BUDLYCLU;
LPHYS;;R;;;BUDLYCLU;
LRCES;;R;;;BUDLYCLU;
AJSTO;;R;;D;BUDLYCLU;
BBOKS;;R;;D;BUDLYCLU;
BDLAO;;R;;D;BUDLYCLU;
BDLGO;;R;;D;BUDLYCLU;
BDLPO;;R;;D;BUDLYCLU;
BISSO;;R;U;D;BUDLYCLU;
LCBNS;;R;;;BUDLYCLU;
REFFL;;R;;;BUDLYCLU;
ACLOG;;R;U;;CFFEM;
REFFL;;R;;;CFFEM;
GSEMO;;R;;;CFFEM;
ICNFS;;R;;;CFFEM;
GMONO;C;;;;CFFEM;
LHOLO;;R;;;CFFEM;
PRSNL;;R;U;;CFFEM;
SECUR;;R;;;CFFEM;
GMSGS;;R;;;CFFEM;
DEFIN;;R;;;CFFEM;
CFCRO;C;R;U;D;CFFEM;
CFACS;;R;U;;CFFEM;
CFDDO;C;R;;D;CFFEM;
CFFEO;C;R;U;;CFFEM;
LCCYS;;R;;;CFFEM;
LCBNS;;R;;;CFFEM;
ADETS;;R;;;CFFEM;
CREPO;;R;;;CFFEM;
AASPS;;R;;;CFFEM;
REFFL;;R;;;CLGUAPMT;
RPSCH;;R;U;;CLGUAPMT;
RSTRT;C;R;U;;CLGUAPMT;
PRSNL;;R;;;CLGUAPMT;
PRNTR;;R;;;CLGUAPMT;
RPDEF;;R;;;CLGUAPMT;
LPHYS;;R;;;CLGUAPMT;
LRCES;;R;;;CLGUAPMT;
GMSGS;;R;;;CLGUAPMT;
AASPS;;R;;;CLGUAPMT;
LCCYS;;R;;;CLGUAPMT;
ADETS;;R;;;CLGUAPMT;
LBRAS;;R;;;CLGUAPMT;
AIBRO;;R;;;CLGUAPMT;
CGUAS;;R;;;CLGUAPMT;
REFFL;;R;;;DLLSTDDC;
RPSCH;C;R;U;;DLLSTDDC;
SECUR;;R;;;DLLSTDDC;
AASPS;;R;;;DLLSTDDC;
RSTRT;C;R;U;;DLLSTDDC;
PRSNL;;R;;;DLLSTDDC;
PRNTR;;R;;;DLLSTDDC;
RPDEF;;R;;;DLLSTDDC;
LRCES;;R;;;DLLSTDDC;
ADETS;;R;;;DLLSTDDC;
DDDCO;;R;;;DLLSTDDC;
LCBNS;;R;;;DLLSTDDC;
LPHYS;;R;;;DLLSTDDC;
IBATO;C;R;U;;DLDLLCLENL;
RSTRT;C;R;U;;DLDLLCLENL;
LPHYS;;R;;;DLDLLCLENL;
LRCES;;R;;;DLDLLCLENL;
CEXRO;;R;;;DLDLLCLENL;
CMRGO;;R;;;DLDLLCLENL;
AEXRS;;R;;;DLDLLCLENL;
IERBS;;R;;;DLDLLCLENL;
ACVRO;;R;;;DLDLLCLENL;
SECUR;;R;;;DLDLLCLENL;
PRSNL;;R;;;DLDLLCLENL;
RPDEF;;R;;;DLDLLCLENL;
PRNTR;;R;;;DLDLLCLENL;
RPSCH;C;R;U;;DLDLLCLENL;
GMSGS;;R;;;DLDLLCLENL;
DIPTO;;R;;;DLDLLCLENL;
DPTRL;;R;;;DLDLLCLENL;
DSTAO;C;;;;DLDLLCLENL;
GSWMO;C;R;U;;DLDLLCLENL;
REFFL;;R;U;;DLDLLCLENL;
RCHQS;;R;U;;DLDLLCLENL;
DPTRO;;R;U;;DLDLLCLENL;
LBRAS;;R;;;DLDLLCLENL;
LCBNS;;R;;;DLDLLCLENL;
LCCYS;;R;;;DLDLLCLENL;
AASPS;;R;;;DLDLLCLENL;
LPSNS;;R;;;DLDLLCLENL;
LCRYS;;R;;;DLDLLCLENL;
ABA1S;;R;;;DLDLLCLENL;
GPARO;;R;;;DLDLLCLENL;
ACLOG;;R;U;;DRPTM;
REFFL;;R;;;DRPTM;
GSEMO;;R;;;DRPTM;
ICNFS;;R;;;DRPTM;
GMONO;C;;;;DRPTM;
SECUR;;R;;;DRPTM;
PRSNL;;R;U;;DRPTM;
GMSGS;;R;;;DRPTM;
AASPS;;R;;;DRPTM;
DEFIN;;R;;;DRPTM;
DRPTO;;R;U;;DRPTM;
LCCYS;;R;;;DRPTM;
LPSNS;;R;;;DRPTM;
LPHYS;;R;;;DRPTM;
ACLOG;;R;U;;ISSLC;
GSEMO;;R;;;ISSLC;
ICNFS;;R;;;ISSLC;
GMONO;C;;;;ISSLC;
SECUR;;R;;;ISSLC;
PRSNL;;R;U;;ISSLC;
GMSGS;;R;;;ISSLC;
AASPS;;R;;;ISSLC;
DEFIN;;R;;;ISSLC;
APPNO;;R;;;ISSLC;
LPRDS;;R;;;ISSLC;
REFFL;;R;U;;ISSLC;
ISTLO;;R;U;;ISSLC;
ISTMO;;R;U;;ISSLC;
LCCYS;;R;;;ISSLC;
ADETS;;R;;;ISSLC;
ACLOG;;R;U;;BSWC5;
REFFL;;R;;;BSWC5;
GSEMO;;R;;;BSWC5;
ICNFS;;R;;;BSWC5;
GMONO;C;;;;BSWC5;
PRSNL;;R;U;;BSWC5;
SECUR;;R;;;BSWC5;
GMSGS;;R;;;BSWC5;
AASPS;;R;;;BSWC5;
DEFIN;;R;;;BSWC5;
BDLPO;;R;;;BSWC5;
LCCYS;;R;;;BSWC5;
BDLGO;;R;;;BSWC5;
LPRDS;;R;;;BSWC5;
BDLTO;;R;;;BSWC5;
LCTPS;;R;;;BSWC5;
DDDCO;;R;;;DULDSWIFT;
REFFL;C;R;U;;DULDSWIFT;
DMSTO;;R;;;DULDSWIFT;
LCTPS;;R;;;DULDSWIFT;
RPSCH;C;R;U;;DULDSWIFT;
SECUR;;R;;;DULDSWIFT;
RSTRT;C;R;U;;DULDSWIFT;
RPDEF;;R;;;DULDSWIFT;
CEXRO;;R;;;DULDSWIFT;
CMRGO;;R;;;DULDSWIFT;
AEXRS;;R;;;DULDSWIFT;
IERBS;;R;;;DULDSWIFT;
ABA1S;;R;;;DULDSWIFT;
DSLVO;;R;;;DULDSWIFT;
ACVRO;;R;;;DULDSWIFT;
DCONO;;R;;;DULDSWIFT;
DCNTO;;R;;;DULDSWIFT;
DCNDO;;R;;;DULDSWIFT;
LHOLO;;R;;;DULDSWIFT;
DSTAO;C;;;;DULDSWIFT;
GMSGS;;R;;;DULDSWIFT;
DPTRO;;R;;;DULDSWIFT;
DPTRL;;R;;;DULDSWIFT;
DIPTO;C;R;U;;DULDSWIFT;
LTARO;;R;;;DULDSWIFT;
LCSTS;;R;;;DULDSWIFT;
PRNTR;;R;;;DULDSWIFT;
GSAMO;;R;U;;DULDSWIFT;
DPBDO;C;R;U;;DULDSWIFT;
LCCYS;;R;;;DULDSWIFT;
ICNFS;;R;;;DULDSWIFT;
LCBNS;;R;;;DULDSWIFT;
LCRYS;;R;;;DULDSWIFT;
LELCS;;R;;;DULDSWIFT;
LCORO;;R;;;DULDSWIFT;
LBRAS;;R;;;DULDSWIFT;
GCNVO;;R;;;DULDSWIFT;
LCIYS;;R;;;DULDSWIFT;
DCTRO;C;;;;DULDSWIFT;
LPHYS;;R;;;DULDSWIFT;
DCBMO;;R;;;DULDSWIFT;
ADETS;;R;;;DULDSWIFT;
AASPS;;R;;;DULDSWIFT;
ASPAS;;R;;;DULDSWIFT;
DDETO;C;;;;DULDSWIFT;
LPSNS;;R;;;DULDSWIFT;
LPRDS;;R;;;DULDSWIFT;
INOSO;;R;;;DULDSWIFT;
LCCCS;;R;;;DULDSWIFT;
PRSNL;;R;;;DULDSWIFT;
LRCES;;R;;;DULDSWIFT;
GPARO;;R;;;DULDSWIFT;
GSADO;;R;;;DULDSWIFT;
DRSMO;C;;;;DULDSWIFT;
DRSDO;C;;;;DULDSWIFT;
ACLOG;;R;U;;DRPTC;
REFFL;;R;;;DRPTC;
GSEMO;;R;;;DRPTC;
GMONO;C;;;;DRPTC;
SECUR;;R;;;DRPTC;
PRSNL;;R;U;;DRPTC;
GMSGS;;R;;;DRPTC;
DEFIN;;R;;;DRPTC;
DRPTO;C;R;U;;DRPTC;
LCCYS;;R;;;DRPTC;
LPSNS;;R;;;DRPTC;
ICNFS;;R;;;DRPTC;
AASPS;;R;;;DRPTC;
ACLOG;;R;U;;GP163;
REFFL;;R;;;GP163;
GSEMO;;R;;;GP163;
ICNFS;;R;;;GP163;
GMONO;C;;;;GP163;
SECUR;;R;;;GP163;
PRSNL;;R;U;;GP163;
GMSGS;;R;;;GP163;
AASPS;;R;;;GP163;
DEFIN;;R;;;GP163;
REFFL;;R;;;ILHMC;
RPSCH;;R;U;;ILHMC;
AASPS;;R;;;ILHMC;
RSTRT;C;R;U;;ILHMC;
PRSNL;;R;;;ILHMC;
PRNTR;;R;;;ILHMC;
RPDEF;;R;;;ILHMC;
LPHYS;;R;;;ILHMC;
LRCES;;R;;;ILHMC;
IHMCS;;R;;;ILHMC;
REFFL;;R;;;ALHKMJ01;
LBRAS;;R;;;ALHKMJ01;
LBGRS;;R;;;ALHKMJ01;
RPSCH;C;R;U;;ALHKMJ01;
SECUR;;R;;;ALHKMJ01;
AASPS;;R;;;ALHKMJ01;
RSTRT;C;R;U;;ALHKMJ01;
PRSNL;;R;;;ALHKMJ01;
PRNTR;;R;;;ALHKMJ01;
RPDEF;;R;;;ALHKMJ01;
LPHYS;;R;;;ALHKMJ01;
LRCES;;R;;;ALHKMJ01;
GMSGS;;R;;;ALHKMJ01;
LCCYS;;R;;;ALHKMJ01;
ACLOG;;R;U;;DPTH5;
DCBMO;;R;;;DPTH5;
DIPTO;;R;;;DPTH5;
DPTRO;;R;;;DPTH5;
REFFL;;R;;;DPTH5;
GSEMO;;R;;;DPTH5;
ICNFS;;R;;;DPTH5;
GMONO;C;;;;DPTH5;
SECUR;;R;;;DPTH5;
PRSNL;;R;U;;DPTH5;
GMSGS;;R;;;DPTH5;
AASPS;;R;;;DPTH5;
DEFIN;;R;;;DPTH5;
DPTRL;;R;U;;DPTH5;
LPRDS;;R;;;DPTH5;
LCBNS;;R;;;DPTH5;
ABA1S;;R;;;DPTH5;
DPBDO;;R;;;DPTH5;
LCCYS;;R;;;DPTH5;
DFIDO;;R;;;DPTH5;
GSWMO;;R;;;DPTH5;
DSTAO;;R;;;DPTH5;
DPFBK;;R;;;DPTH5;
RPSCH;C;R;U;;AUSTMCCR;
SECUR;;R;;;AUSTMCCR;
RSTRT;C;R;U;;AUSTMCCR;
RPDEF;;R;U;;AUSTMCCR;
GMSGS;;R;;;AUSTMCCR;
DIPTO;;R;;;AUSTMCCR;
DPTRO;;R;;;AUSTMCCR;
DPTRL;;R;;;AUSTMCCR;
DSTAO;C;;;;AUSTMCCR;
GSWMO;C;R;U;;AUSTMCCR;
PRNTR;;R;;;AUSTMCCR;
APPNO;;R;;;AUSTMCCR;
LPRDS;;R;;;AUSTMCCR;
REFFL;;R;U;;AUSTMCCR;
ASPAS;;R;U;;AUSTMCCR;
AMVTO;;R;U;;AUSTMCCR;
AHVBO;;R;;;AUSTMCCR;
AADVO;;R;;;AUSTMCCR;
LBRAS;;R;;;AUSTMCCR;
ADETS;;R;;;AUSTMCCR;
LELCS;;R;;;AUSTMCCR;
PRSNL;;R;;;AUSTMCCR;
LPHYS;;R;;;AUSTMCCR;
LRCES;;R;;;AUSTMCCR;
LCBNS;;R;;;AUSTMCCR;
AHLBO;;R;;;AUSTMCCR;
LCCYS;;R;;;AUSTMCCR;
GSAMO;C;R;;;AUSTMCCR;
GSADO;C;;;;AUSTMCCR;
GPARO;;R;;;AUSTMCCR;
DCBMO;;R;;;AUSTMCCR;
AASPS;;R;;;AUSTMCCR;
AMVTO;;R;U;;WPIRCE;
ADETS;;R;;;WPIRCE;
IGLDO;;R;;;WPIRCE;
IFXCO;;R;;;WPIRCE;
XGDCS;;R;;;WPIRCE;
REFFL;;R;;;IUDLYABFRA;
LBGRS;;R;;;IUDLYABFRA;
CFACS;;R;;;IUDLYABFRA;
LCTSO;;R;;;IUDLYABFRA;
LCBNS;;R;U;;IUDLYABFRA;
IBATO;C;R;U;;IUDLYABFRA;
RPSCH;C;R;U;;IUDLYABFRA;
RSTRT;C;R;U;;IUDLYABFRA;
PRSNL;;R;;;IUDLYABFRA;
PRNTR;;R;;;IUDLYABFRA;
RPDEF;;R;U;;IUDLYABFRA;
LPHYS;;R;;;IUDLYABFRA;
LRCES;;R;;;IUDLYABFRA;
CEXRO;;R;;;IUDLYABFRA;
CMRGO;;R;;;IUDLYABFRA;
IERBS;;R;;;IUDLYABFRA;
ACVRO;;R;;;IUDLYABFRA;
LCRYS;;R;;;IUDLYABFRA;
LCTPS;;R;;;IUDLYABFRA;
ABA1S;;R;;;IUDLYABFRA;
GMSGS;;R;;;IUDLYABFRA;
LHOLO;;R;;;IUDLYABFRA;
ILPAO;;R;;;IUDLYABFRA;
ATRTS;;R;;;IUDLYABFRA;
LCIYS;;R;;;IUDLYABFRA;
CRTRO;C;R;U;;IUDLYABFRA;
IFRAO;;R;U;;IUDLYABFRA;
ATRDO;C;R;;;IUDLYABFRA;
LCCYS;;R;;;IUDLYABFRA;
LPRDS;;R;;;IUDLYABFRA;
AEXRS;;R;;;IUDLYABFRA;
LBRAS;;R;;;IUDLYABFRA;
LPSNS;;R;;;IUDLYABFRA;
IWARO;;R;;;IUDLYABFRA;
APPNO;;R;;;IUDLYABFRA;
LELCS;;R;;;IUDLYABFRA;
IFRPO;;R;;;IUDLYABFRA;
IFASO;C;R;;;IUDLYABFRA;
AIBRO;;R;;;IUDLYABFRA;
IPTIO;;R;;;IUDLYABFRA;
IPTIL;;R;;;IUDLYABFRA;
AASPS;;R;;;IUDLYABFRA;
SECUR;;R;;;IUDLYABFRA;
ACLOG;;R;U;;ICLF4;
REFFL;;R;;;ICLF4;
GSEMO;;R;;;ICLF4;
ICNFS;;R;;;ICLF4;
GMONO;C;;;;ICLF4;
SECUR;;R;;;ICLF4;
PRSNL;;R;U;;ICLF4;
GMSGS;;R;;;ICLF4;
AASPS;;R;;;ICLF4;
DEFIN;;R;;;ICLF4;
LCCYS;;R;;;ICLF4;
IACCO;;R;;;ICLF4;
ISTLO;;R;;;ICLF4;
REFFL;;R;;;CLCPLDCM;
RPSCH;C;R;U;;CLCPLDCM;
SECUR;;R;;;CLCPLDCM;
RSTRT;C;R;U;;CLCPLDCM;
PRSNL;;R;;;CLCPLDCM;
PRNTR;;R;;;CLCPLDCM;
RPDEF;;R;U;;CLCPLDCM;
LPHYS;;R;;;CLCPLDCM;
LRCES;;R;;;CLCPLDCM;
GMSGS;;R;;;CLCPLDCM;
CRTRO;;R;;;CLCPLDCM;
CCMHO;;R;;;CLCPLDCM;
CMTLO;;R;;;CLCPLDCM;
AASPS;;R;;;CLCPLDCM;
REFFL;;R;;;BDLAX;
ACLOG;;R;U;;BDLAX;
GSEMO;;R;;;BDLAX;
ICNFS;;R;;;BDLAX;
GMONO;C;;;;BDLAX;
SECUR;;R;;;BDLAX;
PRSNL;;R;U;;BDLAX;
GMSGS;;R;;;BDLAX;
AASPS;;R;;;BDLAX;
DEFIN;;R;;;BDLAX;
BDLAO;C;R;U;D;BDLAX;
REFFL;;R;;;CUCRSWCM2;
IBATO;C;R;U;;CUCRSWCM2;
RPSCH;C;R;U;;CUCRSWCM2;
SECUR;;R;;;CUCRSWCM2;
RSTRT;C;R;U;;CUCRSWCM2;
PRSNL;;R;;;CUCRSWCM2;
PRNTR;;R;;;CUCRSWCM2;
RPDEF;;R;;;CUCRSWCM2;
LRCES;;R;;;CUCRSWCM2;
GMSGS;;R;;;CUCRSWCM2;
COMSO;;R;U;;CUCRSWCM2;
CPTIO;;R;;;CUCRSWCM2;
CCMHO;;R;;;CUCRSWCM2;
CMTLO;;R;;;CUCRSWCM2;
LBRAS;;R;;;CUCRSWCM2;
LELCS;;R;;;CUCRSWCM2;
LCBNS;;R;;;CUCRSWCM2;
ABA1S;;R;;;CUCRSWCM2;
ADETS;;R;;;CUCRSWCM2;
LPHYS;;R;;;CUCRSWCM2;
LPSNS;;R;;;CUCRSWCM2;
CPTIL;;R;;;CUCRSWCM2;
AASPS;;R;;;CUCRSWCM2;
LCCYS;;R;;;CUCRSWCM2;
LPRDS;;R;;;CUCRSWCM2;
REFFL;;R;;;ILXDWAR;
RPSCH;;R;U;;ILXDWAR;
RSTRT;C;R;U;;ILXDWAR;
PRSNL;;R;;;ILXDWAR;
PRNTR;;R;;;ILXDWAR;
RPDEF;;R;;;ILXDWAR;
LRCES;;R;;;ILXDWAR;
CEXRO;;R;;;ILXDWAR;
CMRGO;;R;;;ILXDWAR;
AEXRS;;R;;;ILXDWAR;
IERBS;;R;;;ILXDWAR;
AASPS;;R;;;ILXDWAR;
ACVRO;;R;;;ILXDWAR;
LCCYS;;R;;;ILXDWAR;
LPHYS;;R;;;ILXDWAR;
ABA1S;;R;;;ILXDWAR;
IPTIO;;R;;;ILXDWAR;
CPTIO;;R;;;ILXDWAR;
LHOLO;;R;;;ILXDWAR;
LBRAS;;R;;;ILXDWAR;
IFXCO;;R;;;ILXDWAR;
ITLDO;;R;;;ILXDWAR;
IGLDO;;R;;;ILXDWAR;
ITIRO;;R;;;ILXDWAR;
IGIRO;;R;;;ILXDWAR;
IFRAO;;R;;;ILXDWAR;
IOPTS;;R;;;ILXDWAR;
CMTLO;;R;;;ILXDWAR;
CCMHO;;R;;;ILXDWAR;
REFFL;;R;;;IUINIWARDT;
RPSCH;;R;U;;IUINIWARDT;
AASPS;;R;;;IUINIWARDT;
RSTRT;C;R;U;;IUINIWARDT;
PRSNL;;R;;;IUINIWARDT;
PRNTR;;R;;;IUINIWARDT;
RPDEF;;R;;;IUINIWARDT;
LPHYS;;R;;;IUINIWARDT;
LRCES;;R;;;IUINIWARDT;
IWARO;C;R;;D;IUINIWARDT;
LCCYS;;R;;;IUINIWARDT;
LHOLO;;R;;;IUINIWARDT;
IWODO;;R;;;IUINIWARDT;
REFFL;;R;;;BLPARSEC;
RPSCH;C;R;U;;BLPARSEC;
SECUR;;R;;;BLPARSEC;
RSTRT;C;R;U;;BLPARSEC;
PRSNL;;R;;;BLPARSEC;
PRNTR;;R;;;BLPARSEC;
RPDEF;;R;;;BLPARSEC;
LPHYS;;R;;;BLPARSEC;
LRCES;;R;;;BLPARSEC;
CEXRO;;R;;;BLPARSEC;
CMRGO;;R;;;BLPARSEC;
AEXRS;;R;;;BLPARSEC;
IERBS;;R;;;BLPARSEC;
AASPS;;R;;;BLPARSEC;
ACVRO;;R;;;BLPARSEC;
BDLTO;;R;;;BLPARSEC;
BDLGO;;R;;;BLPARSEC;
BICTO;;R;;;BLPARSEC;
BBOKS;;R;;;BLPARSEC;
BREDO;;R;;;BLPARSEC;
LCCYS;;R;;;BLPARSEC;
LBRAS;;R;;;BLPARSEC;
BISSO;;R;;;BLPARSEC;
RPSCH;C;R;U;;ALDLLMVT;
SECUR;;R;;;ALDLLMVT;
AASPS;;R;;;ALDLLMVT;
RSTRT;C;R;U;;ALDLLMVT;
PRSNL;;R;;;ALDLLMVT;
PRNTR;;R;;;ALDLLMVT;
RPDEF;;R;;;ALDLLMVT;
LRCES;;R;;;ALDLLMVT;
GMSGS;;R;;;ALDLLMVT;
REFFL;C;R;U;;ALDLLMVT;
ADETS;;R;;;ALDLLMVT;
AMVTO;;R;;;ALDLLMVT;
LCBNS;;R;;;ALDLLMVT;
LPHYS;;R;;;ALDLLMVT;
ABA1S;;R;;;ALDLLMVT;
LPRDS;;R;;;ALDLLMVT;
DPTRL;;R;;;ALDLLMVT;
LCCYS;;R;;;ALDLLMVT;
LBRAS;;R;;;ALDLLMVT;
LBGRS;;R;;;ALDLLMVT;
REFFL;;R;;;AUCLSNOS;
RPSCH;;R;U;;AUCLSNOS;
RSTRT;C;R;U;;AUCLSNOS;
PRSNL;;R;;;AUCLSNOS;
PRNTR;;R;;;AUCLSNOS;
RPDEF;;R;;;AUCLSNOS;
LPHYS;;R;;;AUCLSNOS;
LRCES;;R;;;AUCLSNOS;
CEXRO;;R;;;AUCLSNOS;
CMRGO;;R;;;AUCLSNOS;
AEXRS;;R;;;AUCLSNOS;
IERBS;;R;;;AUCLSNOS;
ACVRO;;R;;;AUCLSNOS;
LHOLO;;R;;;AUCLSNOS;
ASPAS;C;R;;D;AUCLSNOS;
AASPS;;R;U;;AUCLSNOS;
ADETS;C;R;U;;AUCLSNOS;
ARETO;C;R;;;AUCLSNOS;
SECUR;;R;;;AUCLSNOS;
AFOLO;C;;;;AUCLSNOS;
AMDCO;C;;;;AUCLSNOS;
AROTO;;R;;;AUCLSNOS;
ATMPO;C;;;;AUCLSNOS;
DMSTO;;R;;;AUCLSNOS;
DSLVO;;R;;;AUCLSNOS;
LCBNS;;R;;;AUCLSNOS;
DSTOO;;R;;;AUCLSNOS;
DCNDO;;R;;;AUCLSNOS;
LCCYS;;R;;;AUCLSNOS;
LBRAS;;R;;;AUCLSNOS;
RSTRT;;R;U;;HGLOADMDC;
RPDEF;;R;;;HGLOADMDC;
LRCES;;R;;;HGLOADMDC;
CEXRO;;R;;;HGLOADMDC;
CMRGO;;R;;;HGLOADMDC;
AEXRS;;R;;;HGLOADMDC;
IERBS;;R;;;HGLOADMDC;
AMVTO;;R;;;HGLOADMDC;
DSLVO;;R;;;HGLOADMDC;
ACVRO;;R;;;HGLOADMDC;
CFACS;;R;;;HGLOADMDC;
CRTRO;;R;;;HGLOADMDC;
LCTSO;;R;;;HGLOADMDC;
DCPOO;;R;;;HGLOADMDC;
DMSTO;;R;;;HGLOADMDC;
LPSNS;;R;;;HGLOADMDC;
LHOLO;;R;;;HGLOADMDC;
ADETS;C;R;U;;HGLOADMDC;
AASPS;;R;;;HGLOADMDC;
REFFL;;R;;;HGLOADMDC;
GMSGS;;R;;;HGLOADMDC;
ITLDO;;R;;;HGLOADMDC;
IFXCO;;R;;;HGLOADMDC;
IFRAO;;R;;;HGLOADMDC;
CGUAS;;R;;;HGLOADMDC;
ISIMO;;R;;;HGLOADMDC;
IOPTS;;R;;;HGLOADMDC;
ABA1S;;R;;;HGLOADMDC;
APPNO;;R;;;HGLOADMDC;
RPSCH;;R;U;;HGLOADMDC;
AMDCO;C;R;;;HGLOADMDC;
ATMPO;C;R;;;HGLOADMDC;
LCCYS;;R;;;HGLOADMDC;
LBRAS;;R;;;HGLOADMDC;
LCBNS;;R;;;HGLOADMDC;
ANTUS;;R;;;HGLOADMDC;
LPRDS;;R;;;HGLOADMDC;
ICNFS;;R;;;HGLOADMDC;
LPHYS;;R;;;HGLOADMDC;
ATDCS;;R;;;HGLOADMDC;
PRSNL;;R;;;HGLOADMDC;
LPRCO;;R;;;HGLOADMDC;
AFOLO;C;R;;;HGLOADMDC;
ADETL;C;;;;HGLOADMDC;
PRNTR;;R;;;HGLOADMDC;
REFFL;;R;;;JAACORDPBD;
GMSGS;;R;;;JAACORDPBD;
DPBDO;;R;U;;JAACORDPBD;
GMSGS;;R;;;GP-100-F83A;
LBRAS;;R;U;;GP-076-CHK-ACCFOR;
DFRTO;C;R;U;D;DLDLLCLEGE;
REFFL;C;R;U;;DLDLLCLEGE;
IBATO;C;R;U;;DLDLLCLEGE;
RPSCH;C;R;U;;DLDLLCLEGE;
SECUR;;R;;;DLDLLCLEGE;
RSTRT;C;R;U;;DLDLLCLEGE;
PRSNL;;R;;;DLDLLCLEGE;
PRNTR;;R;;;DLDLLCLEGE;
RPDEF;;R;;;DLDLLCLEGE;
LPHYS;;R;;;DLDLLCLEGE;
LRCES;;R;;;DLDLLCLEGE;
CEXRO;;R;;;DLDLLCLEGE;
CMRGO;;R;;;DLDLLCLEGE;
AEXRS;;R;;;DLDLLCLEGE;
IERBS;;R;;;DLDLLCLEGE;
ACVRO;;R;;;DLDLLCLEGE;
ATRDO;C;;;;DLDLLCLEGE;
ATRTS;;R;;;DLDLLCLEGE;
AIBRO;;R;;;DLDLLCLEGE;
AEVTO;C;;;;DLDLLCLEGE;
DSTAO;C;;;;DLDLLCLEGE;
GMSGS;;R;;;DLDLLCLEGE;
DIPTO;C;R;;;DLDLLCLEGE;
DPTRO;;R;U;;DLDLLCLEGE;
RCHQS;;R;U;;DLDLLCLEGE;
AASPS;;R;;;DLDLLCLEGE;
LCCYS;;R;;;DLDLLCLEGE;
LCBNS;;R;;;DLDLLCLEGE;
DPTRL;;R;;;DLDLLCLEGE;
ICNFS;;R;;;DLDLLCLEGE;
LBRAS;;R;;;DLDLLCLEGE;
ADETS;;R;;;DLDLLCLEGE;
DCTRO;;R;;;DLDLLCLEGE;
